"","plot","date","year","genus","species","nInd","nFlower","tag_list","field.est.abundance","url","sp.code"
"1","SWS1A",2021-12-08,"2021","Euphorbia","polycarpa",NA,NA,"","","https://www.inaturalist.org/observations/102749085","Euphorbia.polycarpa"
"2","MTS2",2022-03-15,"2022","Camissoniopsis",NA,NA,NA,"2, MTS2","","https://www.inaturalist.org/observations/108660655","Camissoniopsis"
"3","ECR5",2022-03-15,"2022","Eriodictyon","crassifolium",NA,NA,"4, ECR5","","https://www.inaturalist.org/observations/108674670","Eriodictyon.crassifolium"
"4","ECR4",2022-03-15,"2022","Sisyrinchium","bellum",NA,NA,"1, ECR4","","https://www.inaturalist.org/observations/108708868","Sisyrinchium.bellum"
"5","MTS2",2022-03-15,"2022","Erodium","botrys",NA,NA,"1, MTS2","","https://www.inaturalist.org/observations/108708945","Erodium.botrys"
"6","MTS2",2022-03-15,"2022","Linanthus","dianthiflorus",NA,NA,"2, MTS2","","https://www.inaturalist.org/observations/108708994","Linanthus.dianthiflorus"
"7","MTS2",2022-03-15,"2022","Lupinus","bicolor",NA,NA,"1, MTS2","","https://www.inaturalist.org/observations/108709108","Lupinus.bicolor"
"8","MTS2",2022-03-15,"2022","Eriogonum","fasciculatum",NA,NA,"4, MTS2","","https://www.inaturalist.org/observations/108709158","Eriogonum.fasciculatum"
"9","MTS2",2022-03-15,"2022","Salvia","mellifera",NA,NA,"4, MTS2","","https://www.inaturalist.org/observations/108709186","Salvia.mellifera"
"10","MTS2",2022-03-15,"2022","Quercus",NA,NA,NA,"2, MTS2","","https://www.inaturalist.org/observations/108709210","Quercus"
"11","MTS2",2022-03-15,"2022","Acmispon","glaber",NA,NA,"3, MTS2","","https://www.inaturalist.org/observations/108709233","Acmispon.glaber"
"12","MTS2",2022-03-15,"2022","Camissoniopsis",NA,NA,NA,"2, MTS2","","https://www.inaturalist.org/observations/108709297","Camissoniopsis"
"13","MTS2",2022-03-15,"2022","Hirschfeldia","incana",NA,NA,"3, MTS2","","https://www.inaturalist.org/observations/108709303","Hirschfeldia.incana"
"14","MTS2",2022-03-15,"2022","Diplacus",NA,NA,NA,"2, MTS2","","https://www.inaturalist.org/observations/108709328","Diplacus"
"15","MTS2",2022-03-15,"2022","Solanum","parishii",NA,NA,"1, MTS2","","https://www.inaturalist.org/observations/108709347","Solanum.parishii"
"16","MTS2",2022-03-15,"2022","Cryptantha",NA,NA,NA,"3, MTS2","","https://www.inaturalist.org/observations/108709367","Cryptantha"
"17","ECR4",2022-03-15,"2022","Eriogonum","fasciculatum",NA,NA,"4, ECR4","","https://www.inaturalist.org/observations/108709411","Eriogonum.fasciculatum"
"18","ECR4",2022-03-15,"2022","Cistus","ladanifer",NA,NA,"1, ECR4","","https://www.inaturalist.org/observations/108709467","Cistus.ladanifer"
"19","ECR4",2022-03-15,"2022","Eriophyllum","confertiflorum",NA,NA,"2, ECR4","","https://www.inaturalist.org/observations/108709501","Eriophyllum.confertiflorum"
"20","ECR4",2022-03-15,"2022","Castilleja","densiflora",NA,NA,"1, ECR4","","https://www.inaturalist.org/observations/108709575","Castilleja.densiflora"
"21","ECR4",2022-03-15,"2022","Diplacus",NA,NA,NA,"2, ECR4","","https://www.inaturalist.org/observations/108709594","Diplacus"
"22","MTS2",2022-03-15,"2022","Acmispon","glaber",NA,NA,"2","","https://www.inaturalist.org/observations/108709611","Acmispon.glaber"
"23","ECR4",2022-03-15,"2022","Rhus","integrifolia",NA,NA,"ECR4","","https://www.inaturalist.org/observations/108709625","Rhus.integrifolia"
"24","ECR4",2022-03-15,"2022","Eriogonum",NA,NA,NA,"4, ECR4","","https://www.inaturalist.org/observations/108709657","Eriogonum"
"25","ECR5",2022-03-15,"2022","Dipterostemon","capitatus",NA,NA,"2, ECR5","","https://www.inaturalist.org/observations/108709888","Dipterostemon.capitatus"
"26","ECR5",2022-03-15,"2022","Cryptantha",NA,NA,NA,"3, ECR5","","https://www.inaturalist.org/observations/108709910","Cryptantha"
