"fieldNumber","year","station_id","same_precip","previous_precip"
"SWS1",2000,"USC00042706",98.3,100
"SWS1",2001,"USC00042706",219.5,98.3
"SWS1",2002,"USC00042706",38.9,219.5
"SWS1",2003,"USC00042706",133.2,38.9
"SWS1",2004,"USC00042706",144,133.2
"SWS1",2005,"USC00042706",355.8,144
"SWS1",2006,"USC00042706",24.7,355.8
"SWS1",2007,"USC00042706",76.8,24.7
"SWS1",2008,"USC00042706",236.7,76.8
"SWS1",2009,"USC00042706",284.1,236.7
"SWS1",2010,"USC00042706",286.9,284.1
"SWS1",2011,"USC00042706",399.7,286.9
"SWS1",2012,"USC00042706",219,399.7
"SWS1",2013,"USC00042706",182.3,219
"SWS1",2014,"USC00042706",80.7,182.3
"SWS1",2015,"USC00042706",138.1,80.7
"SWS1",2016,"USC00042706",211.4,138.1
"SWS1",2017,"USC00042706",364.9,211.4
"SWS1",2018,"USC00042706",111,364.9
"SWS1",2019,"USC00042706",397.5,111
"SWS1",2020,"USC00042706",327.2,397.5
"SWS1",2021,"USC00042706",175.3,327.2
"SWS1",2022,"USC00042706",191.8,175.3
"SWS1",2023,"USC00042706",497.4,191.8
"SWS1",2024,"USC00042706",394.4,497.4
"SWS1A",2000,"USC00042706",98.3,100
"SWS1A",2001,"USC00042706",219.5,98.3
"SWS1A",2002,"USC00042706",38.9,219.5
"SWS1A",2003,"USC00042706",133.2,38.9
"SWS1A",2004,"USC00042706",144,133.2
"SWS1A",2005,"USC00042706",355.8,144
"SWS1A",2006,"USC00042706",24.7,355.8
"SWS1A",2007,"USC00042706",76.8,24.7
"SWS1A",2008,"USC00042706",236.7,76.8
"SWS1A",2009,"USC00042706",284.1,236.7
"SWS1A",2010,"USC00042706",286.9,284.1
"SWS1A",2011,"USC00042706",399.7,286.9
"SWS1A",2012,"USC00042706",219,399.7
"SWS1A",2013,"USC00042706",182.3,219
"SWS1A",2014,"USC00042706",80.7,182.3
"SWS1A",2015,"USC00042706",138.1,80.7
"SWS1A",2016,"USC00042706",211.4,138.1
"SWS1A",2017,"USC00042706",364.9,211.4
"SWS1A",2018,"USC00042706",111,364.9
"SWS1A",2019,"USC00042706",397.5,111
"SWS1A",2020,"USC00042706",327.2,397.5
"SWS1A",2021,"USC00042706",175.3,327.2
"SWS1A",2022,"USC00042706",191.8,175.3
