fieldNumber,Type,Latitude,Longitude,Area (ha)
SWS1,Fragment,32.7496,-117.0316,46.55
SWS1A,Fragment,32.7496,-117.0316,46.55
CFS1,Fragment,32.8135,-117.2372,36.44
MTLB1,Fragment,32.8,-117.137,116.69
MTS1A,Fragment,32.7922,-117.0605,2.72
MTS3,Fragment,32.787,-117.1413,31.96
MTS6,Fragment,32.7219,-117.1186,52.79
MTS7,Fragment,32.7396,-117.086,12.01
SWS3,Fragment,32.7201,-117.0778,28.06
MTS2,Fragment,32.8555,-117.1883,12.89
MTE2,Reserve,32.8342,-117.0781,>500
MTE3,Reserve,32.822,-117.0755,>500
MTE4,Reserve,32.8346,-117.0751,>500
MTI2,Reserve,32.8423,-117.0649,>500
SWEA,Reserve,32.7319,-116.9557,>500
SWI2,Reserve,32.7341,-116.9504,>500
SWI4,Reserve,32.7274,-116.94,>500
ECR4,Reserve,32.8929,-117.0916,>500
ECR5,Reserve,32.8996,-117.0752,>500
ECR1,Reserve,32.8929,-117.0916,>500
ECR2,Reserve,32.8996,-117.0752,>500
