"fieldNumber","Type","Latitude","Longitude","Area..ha.","station_stationid","all_years_valid","distance_km","station_stationname","station_stationlatitude","station_stationlongitude"
"SWS1","Fragment",32.7496,-117.0316,"46.55","USC00042706",TRUE,11.2283799271727,"EL CAJON",32.8006,-116.9281
"SWS1A","Fragment",32.7496,-117.0316,"46.55","USC00042706",TRUE,11.2283799271727,"EL CAJON",32.8006,-116.9281
"CFS1","Fragment",32.8135,-117.2372,"36.44","USW00003131",TRUE,9.32814680629353,"SAN DIEGO MONTGOMERY FLD",32.8144,-117.1375
"MTLB1","Fragment",32.8,-117.137,"116.69","USW00003131",TRUE,1.60368316355476,"SAN DIEGO MONTGOMERY FLD",32.8144,-117.1375
"MTS1A","Fragment",32.7922,-117.0605,"2.72","USW00003131",TRUE,7.61678899799258,"SAN DIEGO MONTGOMERY FLD",32.8144,-117.1375
"MTS3","Fragment",32.787,-117.1413,"31.96","USW00003131",TRUE,3.07080914536178,"SAN DIEGO MONTGOMERY FLD",32.8144,-117.1375
"MTS6","Fragment",32.7219,-117.1186,"52.79","USW00023188",TRUE,6.17908263960596,"SAN DIEGO INTL AP",32.7336,-117.1831
"MTS7","Fragment",32.7396,-117.086,"12.01","USW00023188",TRUE,9.11676032103857,"SAN DIEGO INTL AP",32.7336,-117.1831
"SWS3","Fragment",32.7201,-117.0778,"28.06","USW00023188",TRUE,9.97502658449111,"SAN DIEGO INTL AP",32.7336,-117.1831
"MTS2","Fragment",32.8555,-117.1883,"12.89","USW00003131",TRUE,6.59621548346331,"SAN DIEGO MONTGOMERY FLD",32.8144,-117.1375
"MTE2","Reserve",32.8342,-117.0781,">500","USW00003131",TRUE,5.97781251624752,"SAN DIEGO MONTGOMERY FLD",32.8144,-117.1375
"MTE3","Reserve",32.822,-117.0755,">500","USW00003131",TRUE,5.86161811879391,"SAN DIEGO MONTGOMERY FLD",32.8144,-117.1375
"MTE4","Reserve",32.8346,-117.0751,">500","USW00003131",TRUE,6.25539078867314,"SAN DIEGO MONTGOMERY FLD",32.8144,-117.1375
"MTI2","Reserve",32.8423,-117.0649,">500","USW00003131",TRUE,7.46762248187868,"SAN DIEGO MONTGOMERY FLD",32.8144,-117.1375
"SWEA","Reserve",32.7319,-116.9557,">500","USC00042706",TRUE,8.07225333157602,"EL CAJON",32.8006,-116.9281
"SWI2","Reserve",32.7341,-116.9504,">500","USC00042706",TRUE,7.69141901822038,"EL CAJON",32.8006,-116.9281
"SWI4","Reserve",32.7274,-116.94,">500","USC00042706",TRUE,8.22437546570868,"EL CAJON",32.8006,-116.9281
"ECR4","Reserve",32.8929,-117.0916,">500","USW00003131",TRUE,9.73585744306001,"SAN DIEGO MONTGOMERY FLD",32.8144,-117.1375
"ECR5","Reserve",32.8996,-117.0752,">500","USW00003131",TRUE,11.1307550388928,"SAN DIEGO MONTGOMERY FLD",32.8144,-117.1375
"ECR1","Reserve",32.8929,-117.0916,">500","USW00003131",TRUE,9.73585744306001,"SAN DIEGO MONTGOMERY FLD",32.8144,-117.1375
"ECR2","Reserve",32.8996,-117.0752,">500","USW00003131",TRUE,11.1307550388928,"SAN DIEGO MONTGOMERY FLD",32.8144,-117.1375
