family,genus,species,scientificName,itd,diet,excavator,nestloc,soc,range_km2
Andrenidae,Andrena,anatolis,Andrena anatolis,1.44,Oligolectic,Excavate,Ground,Solitary,77266.96412
Andrenidae,Andrena,atypica,Andrena atypica,1.29,Polylectic,Excavate,Ground,Solitary,170805.5269
Andrenidae,Andrena,osmioides,Andrena osmioides,2.32,Oligolectic,Excavate,Ground,Solitary,237329.7847
Andrenidae,Andrena,parachalybea,Andrena parachalybea,2.18,Oligolectic,Excavate,Ground,Solitary,80572.46188
Andrenidae,Andrena,nigripes,Andrena nigripes,1.5,Oligolectic,Excavate,Ground,Solitary,147770.3768
Andrenidae,Andrena,cryptanthae,Andrena cryptanthae,2.4,Oligolectic,Excavate,Ground,Solitary,224842.9852
Andrenidae,Andrena,chalybioides,Andrena chalybioides,NA,Oligolectic,Excavate,Ground,Solitary,880121.5087
Andrenidae,Andrena,timberlakei,Andrena timberlakei,1.03,Polylectic,Excavate,Ground,Solitary,61125.58489
Andrenidae,Andrena,ablegata,Andrena ablegata,1.83,Oligolectic,Excavate,Ground,Solitary,844124.2194
Andrenidae,Andrena,blaisdelli,Andrena blaisdelli,2.45,Oligolectic,Excavate,Ground,Solitary,23973.78416
Andrenidae,Andrena,pallidifovea,Andrena pallidifovea,NA,Polylectic,Excavate,Ground,Solitary,1940178.834
Andrenidae,Andrena,piperi,Andrena piperi,1.46,Polylectic,Excavate,Ground,Solitary,1662959.99
Andrenidae,Andrena,sola,Andrena sola,NA,Oligolectic,Excavate,Ground,Solitary,3792008.636
Andrenidae,Andrena,oenotherae,Andrena oenotherae,NA,Oligolectic,Excavate,Ground,Solitary,125380.9258
Andrenidae,Calliopsis,obscurella,Calliopsis obscurella,2.09,Oligolectic,Excavate,Ground,Solitary,528928.2622
Andrenidae,Calliopsis,rhodophila,Calliopsis rhodophila,1.49,Polylectic,Excavate,Ground,Solitary,593232.8968
Andrenidae,Calliopsis,pugionis,Calliopsis pugionis,1.89,Oligolectic,Excavate,Ground,Solitary,36085.40984
Andrenidae,Calliopsis,fracta,Calliopsis fracta,NA,Oligolectic,Excavate,Ground,Solitary,382674.7803
Andrenidae,Calliopsis,mellipes,Calliopsis mellipes,1.81,Oligolectic,Excavate,Ground,Solitary,54739.32975
Andrenidae,Macrotera,tristella,Macrotera tristella,0.79,Polylectic,Excavate,Ground,Solitary,56968.39037
Andrenidae,Panurginus,MSN subarmaticeps,Panurginus MSN subarmaticeps,1.32,Polylectic,Excavate,Ground,Solitary,NA
Andrenidae,Perdita,interrupta,Perdita interrupta,1.204,Oligolectic,Excavate,Ground,Solitary,219416.6202
Andrenidae,Perdita,californica,Perdita californica,1.52,Oligolectic,Excavate,Ground,Solitary,141289.0563
Andrenidae,Perdita,claypolei,Perdita claypolei,0.790387161,Oligolectic,Excavate,Ground,Solitary,1747198.849
Andrenidae,Perdita,rhois,Perdita rhois,0.89,Polylectic,Excavate,Ground,Solitary,227499.5274
Andrenidae,Perdita,fieldi,Perdita fieldi,1.03,Oligolectic,Excavate,Ground,Solitary,63977.14121
Andrenidae,Perdita,trisignata,Perdita trisignata,1.12,Oligolectic,Excavate,Ground,Solitary,179795.2914
Andrenidae,Perdita,eriastri,Perdita eriastri,0.66,Oligolectic,Excavate,Ground,Solitary,132545.5501
Apidae,Anthophora,urbana,Anthophora urbana,3.18,Polylectic,Excavate,Ground,Solitary,3325998.054
Apidae,Anthophora,curta,Anthophora curta,2.64,Polylectic,Excavate,Ground,Solitary,2154554.347
Apidae,Anthophorula,torticornis,Anthophorula torticornis,1.56,Polylectic,Excavate,Ground,Solitary,162393.3449
Apidae,Anthophorula,nitens,Anthophorula nitens,1.65,Polylectic,Excavate,Ground,Solitary,155651.3468
Apidae,Biastes,mojavensis,Biastes mojavensis,0.85,Polylectic,Cleptoparasite,Ground,Cleptoparasite,32159.57521
Apidae,Biastes,cressoni,Biastes cressoni,1.55,Polylectic,Cleptoparasite,Ground,Cleptoparasite,347594.7439
Apidae,Bombus,vosnesenskii,Bombus vosnesenskii,3.53,Polylectic,Rent,Ground,EusocialP,2975566.97
Apidae,Bombus,californicus,Bombus californicus,3.66,Polylectic,Rent,Ground,EusocialP,3543303.576
Apidae,Bombus,melanopygus,Bombus melanopygus,3.85,Polylectic,Rent,Ground./.Flexible,EusocialP,3100521.303
Apidae,Bombus,crotchii,Bombus crotchii,4.27,Polylectic,Rent,Ground,EusocialP,537049.715
Apidae,Brachynomada,annectens,Brachynomada annectens,1.2,Cleptoparasite,Cleptoparasite,Ground,Cleptoparasite,71161.12868
Apidae,Ceratina,arizonensis,Ceratina arizonensis,1.16,Polylectic,Excavate,Cavity,Solitary,1343070.827
Apidae,Ceratina,acantha,Ceratina acantha,1.16,Polylectic,Excavate,Cavity,Solitary,2249812.31
Apidae,Ceratina,nanula,Ceratina nanula,1.12,Polylectic,Excavate,Cavity,Solitary,2802932.035
Apidae,Ceratina,punctigena,Ceratina punctigena,1.81,Polylectic,Excavate,Cavity,Solitary,214938.7299
Apidae,Diadasia,australis,Diadasia australis,3.11,Oligolectic,Excavate,Ground,Solitary,3958369.632
Apidae,Diadasia,rinconis,Diadasia rinconis,2.97,Oligolectic,Excavate,Ground,Solitary,2715889.971
Apidae,Diadasia,diminuta,Diadasia diminuta,2.26,Oligolectic,Excavate,Ground,Solitary,3712649.522
Apidae,Diadasia,ochracea,Diadasia ochracea,2.5,Oligolectic,Excavate,Ground,Solitary,1710333.623
Apidae,Diadasia,nitidifrons,Diadasia nitidifrons,2.52,Oligolectic,Excavate,Ground,Solitary,796629.72
Apidae,Diadasia,bituberculata,Diadasia bituberculata,3.33,Oligolectic,Excavate,Ground,Solitary,530832.2305
Apidae,Diadasia,opuntiae,Diadasia opuntiae,3.16,Oligolectic,Excavate,Ground,Solitary,146259.1939
Apidae,Diadasia,laticauda,Diadasia laticauda,2.39,Oligolectic,Excavate,Ground,Solitary,151251.7462
Apidae,Diadasia,martialis,Diadasia martialis,2.49,Oligolectic,Excavate,Ground,Solitary,628134.9671
Apidae,Diadasia,lutzi,Diadasia lutzi,NA,Oligolectic,Excavate,Ground,Solitary,1656275.544
Apidae,Diadasia,nigrifrons,Diadasia nigrifrons,2.5,Oligolectic,Excavate,Ground,Solitary,1556739.869
Apidae,Eucera,virgata,Eucera virgata,3.19,Polylectic,Excavate,Ground,Solitary,604615.8186
Apidae,Eucera,frater,Eucera frater,3.7,Polylectic,Excavate,Ground,Solitary,400649.1638
Apidae,Eucera,tricinctella,Eucera tricinctella,2.85,Polylectic,Excavate,Ground,Solitary,530739.6604
Apidae,Eucera,dorsata,Eucera dorsata,2.79,Polylectic,Excavate,Ground,Solitary,92210.51151
Apidae,Eucera,edwardsii,Eucera edwardsii,3.1,Polylectic,Excavate,Ground,Solitary,768472.0305
Apidae,Habropoda,tristissima,Habropoda tristissima,3.73,Polylectic,Excavate,Ground,Solitary,721556.2992
Apidae,Habropoda,depressa,Habropoda depressa,4.15,Polylectic,Excavate,Ground,Solitary,743814.1103
Apidae,Lasioglossum,avalonense,Lasioglossum avalonense,0.8,Polylectic,Excavate,Cavity,EusocialP,4594.22503
Apidae,Leiopodus,singularis,Leiopodus singularis,2.04,Cleptoparasite,Cleptoparasite,Ground,Cleptoparasite,750179.3696
Apidae,Melissodes,tessellatus,Melissodes tessellatus,2.65,Polylectic,Excavate,Ground,Solitary,334520.5035
Apidae,Melissodes,communis,Melissodes communis,2.765509643,Polylectic,Excavate,Ground,Solitary,4938747.16
Apidae,Melissodes,lupinus,Melissodes lupinus,2.32,Oligolectic,Excavate,Ground,Solitary,935117.5187
Apidae,Melissodes,plumosus,Melissodes plumosus,2.29,Oligolectic,Excavate,Ground,Solitary,833906.8146
Apidae,Melissodes,veluntinus,Melissodes velutinus,2.02,Polylectic,Excavate,Ground,Solitary,151352.689
Apidae,Melissodes,stearnsi,Melissodes stearnsi,2.15,Oligolectic,Excavate,Ground,Solitary,309229.3859
Apidae,Melissodes,tribas,Melissodes tribas,NA,NA,Excavate,Ground,Solitary,1866.296284
Apidae,Melissodes,metenua,Melissodes metenua,NA,NA,Excavate,Ground,Solitary,597874.8043
Apidae,Melissodes,personatellus,Melissodes personatellus,2.58,Oligolectic,Excavate,Ground,Solitary,215308.0304
Apidae,Melissodes,NA,Melissodes robustior/montanus,2.82,Polylectic,Excavate,Ground,Solitary,NA
Apidae,Melissodes,paroselae,Melissodes paroselae,2.24,Polylectic,Excavate,Ground,Solitary,2171601.459
Apidae,Oreopasites,vanduzeei,Oreopasites vanduzeei,1.1,Polylectic,Cleptoparasite,Ground,Cleptoparasite,1175479.08
Apidae,Peponapis,pruinosa,Peponapis pruinosa,3.38,Oligolectic,Excavate,Ground,Solitary,4793872.616
Apidae,Tetraloniella,davidsoni,Tetraloniella davidsoni,3.12,Oligolectic,Excavate,Ground,Solitary,77825.6734
Apidae,Tetraloniella,pomonae,Tetraloniella pomonae,2.7,Oligolectic,Excavate,Ground,Solitary,133947.4921
Apidae,Townsendiella,rufiventris,Townsendiella rufiventris,0.77,Cleptoparasite,Cleptoparasite,Ground,Cleptoparasite,307452.5688
Colletidae,Colletes,wootoni,Colletes wootoni,2.3,Polylectic,Excavate,Ground,Solitary,1420284.721
Colletidae,Hylaeus,verticalis,Hylaeus verticalis,1.38,Polylectic,Rent,Cavity,Solitary,3441542.843
Colletidae,Hylaeus,mesillae,Hylaeus mesillae,0.9202,Polylectic,Rent,Cavity,Solitary,2998122.288
Colletidae,Hylaeus,polifolii,Hylaeus polifolii,1.12,Polylectic,Rent,Cavity,Solitary,461906.5303
Colletidae,Hylaeus,wootoni,Hylaeus wootoni,NA,Polylectic,Rent,Cavity,Solitary,2445705.495
Halictidae,Agapostemon,texanus,Agapostemon texanus,2.03,Polylectic,Excavate,Ground,Solitary,4538043.579
Halictidae,Augochlorella,pomoniella,Augochlorella pomoniella,1.55,Polylectic,Excavate,Ground,EusocialP,3319752.388
Halictidae,Conanthalictus,bakeri,Conanthalictus bakeri,1.03,Oligolectic,Excavate,Ground,Solitary,594221.9063
Halictidae,Conanthalictus,nigricans,Conanthalictus nigricans,1,Oligolectic,Excavate,Ground,Solitary,122719.6226
Halictidae,Dufourea,scintilla,Dufourea scintilla,0.89,Oligolectic,Excavate,Ground,Solitary,114118.084
Halictidae,Dufourea,rhamni,Dufourea rhamni,1.62,Oligolectic,Excavate,Ground,Solitary,25636.69242
Halictidae,Dufourea,sandhouseae,Dufourea sandhouseae,1.12,Oligolectic,Excavate,Ground,Solitary,830065.439
Halictidae,Dufourea,virgata,Dufourea virgata,1.46,Oligolectic,Excavate,Ground,Solitary,138702.15
Halictidae,Dufourea,australis,Dufourea australis,1.55,Oligolectic,Excavate,Ground,Solitary,68176.73304
Halictidae,Dufourea,mulleri,Dufourea mulleri,1.63,Oligolectic,Excavate,Ground,Solitary,494421.9252
Halictidae,Dufourea,brevicornis,Dufourea brevicornis,1.2,Oligolectic,Excavate,Ground,Solitary,4642.199069
Halictidae,Halictus,tripartitus,Halictus tripartitus,1.38,Polylectic,Excavate,Ground,EusocialP,4591326.537
Halictidae,Halictus,ligatus,Halictus ligatus,1.66,Polylectic,Excavate,Ground,EusocialP,5564415.764
Halictidae,Halictus,farinosus,Halictus farinosus,2.35,Polylectic,Excavate,Ground,EusocialP,2310920.726
Halictidae,Lasioglossum,microlepoides,Lasioglossum microlepoides,1.16,Polylectic,Excavate,Ground,EusocialP,1011742.718
Halictidae,Lasioglossum,punctatoventre,Lasioglossum punctatoventre,1.23,Polylectic,Excavate,Ground,EusocialP,1618165.287
Halictidae,Lasioglossum,incompletum,Lasioglossum incompletum,0.99,Polylectic,Excavate,Ground,EusocialP,1947178.524
Halictidae,Lasioglossum,brunneiventre,Lasioglossum brunneiventre,0.84,Polylectic,Excavate,Ground,EusocialP,806878.489
Halictidae,Lasioglossum,californiae,Lasioglossum californiae,1.05,Polylectic,Excavate,Ground,EusocialP,72721.84858
Halictidae,Lasioglossum,stictaspis complex,Lasioglossum stictaspis complex,0.95,Polylectic,Excavate,Ground,EusocialP,NA
Halictidae,Lasioglossum,nevadense,Lasioglossum nevadense,0.89,Polylectic,Excavate,Ground,EusocialP,2242091.937
Halictidae,Lasioglossum,MSN turgiventre,Lasioglossum MSN turgiventre,1.2,Polylectic,Excavate,Ground,EusocialP,NA
Halictidae,Lasioglossum,grinnelli,Lasioglossum grinnelli,1.15,Polylectic,Excavate,Ground,EusocialP,2655.706378
Halictidae,Lasioglossum,nigrescens,Lasioglossum nigrescens,1.01,Polylectic,Excavate,Ground,EusocialP,585693.9597
Halictidae,Lasioglossum,deludens,Lasioglossum deludens,0.8,Polylectic,Excavate,Ground,EusocialP,NA
Halictidae,Lasioglossum,latifrons,Lasioglossum latifrons,NA,Polylectic,Excavate,Cavity,Solitary,NA
Halictidae,Lasioglossum,sisymbrii,Lasioglossum sisymbrii,1.98,Polylectic,Excavate,Ground,Solitary,3850886.816
Halictidae,Lasioglossum,perparvum,Lasioglossum perparvum,0.7,Polylectic,Excavate,Ground,EusocialP,480555.9381
Halictidae,Lasioglossum,impavidum,Lasioglossum impavidum,0.88,Polylectic,Excavate,Ground,EusocialP,1420284.721
Halictidae,Lasioglossum,MSN pilosifrons,Lasioglossum MSN pilosifrons,NA,Polylectic,Excavate,Ground,EusocialP,NA
Halictidae,Lasioglossum,titusi,Lasioglossum titusi,1.83,Polylectic,Excavate,Ground,Solitary,1364969.926
Halictidae,Lasioglossum,gaudiale,Lasioglossum gaudiale,0.85,Polylectic,Excavate,Ground,EusocialP,NA
Halictidae,Lasioglossum,argemonis,Lasioglossum argemonis,1.44,Polylectic,Excavate,Ground,EusocialP,376502.6064
Halictidae,Lasioglossum,cabrilli,Lasioglossum cabrilli,0.9,Polylectic,Excavate,Ground,EusocialP,3675.380024
Halictidae,Lasioglossum,actinosum,Lasioglossum actinosum,1.27,Polylectic,Excavate,Ground,EusocialP,131743.1243
Halictidae,Lasioglossum,pacificum,Lasioglossum pacificum,1.9,Polylectic,Excavate,Ground,EusocialP,522308.7137
Halictidae,Lasioglossum,petrellum,Lasioglossum petrellum,1.14,Polylectic,Excavate,Ground,EusocialP,1142599.077
Halictidae,Lasioglossum,perichlarum,Lasioglossum perichlarum,NA,Polylectic,Excavate,Ground,EusocialP,NA
Halictidae,Lasioglossum,mellipes,Lasioglossum mellipes,2.06,Polylectic,Excavate,Ground,Solitary,1354295.177
Halictidae,Lasioglossum,robustum,Lasioglossum robustum,1.978,Polylectic,Excavate,Ground,EusocialP,59774.38562
Halictidae,Lasioglossum,helianthi,Lasioglossum helianthi,NA,Polylectic,Excavate,Ground,EusocialP,NA
Halictidae,Micralictoides,ruficaudus,Micralictoides ruficaudus,0.88,Oligolectic,Excavate,Ground,Solitary,154030.9699
Halictidae,Micralictoides,altadenae,Micralictoides altadenae,0.69,Oligolectic,Excavate,Ground,Solitary,63398.93554
Megachilidae,Anthidium,jocosum,Anthidium jocosum,2.01,Polylectic,Rent,Ground./.Flexible,Solitary,826159.3641
Megachilidae,Anthidium,palliventre,Anthidium palliventre,NA,Polylectic,Rent,Cavity./.Flexible,Solitary,222198.2595
Megachilidae,Anthidium,maculosum,Anthidium maculosum,2.97,Polylectic,Rent,Cavity./.Flexible,Solitary,3793973.442
Megachilidae,Anthidium,edwardsii,Anthidium edwardsii,2.93,Polylectic,Rent,Cavity./.Flexible,Solitary,330626.6975
Megachilidae,Anthidium,mormonum,Anthidium mormonum,2.67,Polylectic,Rent,Cavity./.Flexible,Solitary,2172712.672
Megachilidae,Anthidium,collectum,Anthidium collectum,2.72,Polylectic,Rent,Cavity./.Flexible,Solitary,625460.4133
Megachilidae,Anthidium,paroselae,Anthidium paroselae,NA,Polylectic,Rent,Cavity./.Flexible,Solitary,866049.8361
Megachilidae,Anthidium,utahense,Anthidium utahense,2.32,Polylectic,Rent,Ground./.Flexible,Solitary,1525998.519
Megachilidae,Anthidium,illustre,Anthidium illustre,3.53,Polylectic,Rent,Cavity./.Flexible,Solitary,1543598.065
Megachilidae,Anthidium,placitum,Anthidium placitum,NA,Oligolectic,Rent,Cavity./.Flexible,Solitary,1837505.938
Megachilidae,Ashmeadiella,meliloti,Ashmeadiella meliloti,1.51,Polylectic,Rent,Cavity./.Flexible,Solitary,1954914.474
Megachilidae,Ashmeadiella,bucconis,Ashmeadiella bucconis,1.78,Oligolectic,Rent,Cavity,Solitary,3856373.117
Megachilidae,Ashmeadiella,opuntiae,Ashmeadiella opuntiae,1.9,Oligolectic,Rent,Cavity,Solitary,2018632.905
Megachilidae,Ashmeadiella,californica,Ashmeadiella californica,1.55,Polylectic,Rent,Cavity./.Flexible,Solitary,2022171.022
Megachilidae,Ashmeadiella,salviae,Ashmeadiella salviae,1.49,Polylectic,Rent,Cavity./.Flexible,Solitary,398532.2284
Megachilidae,Ashmeadiella,timberlakei,Ashmeadiella timberlakei,NA,Polylectic,Rent,Cavity./.Flexible,Solitary,579498.1737
Megachilidae,Ashmeadiella,foveata,Ashmeadiella foveata,1.75,Polylectic,Excavate,Ground,Solitary,927726.7613
Megachilidae,Ashmeadiella,cubiceps,Ashmeadiella cubiceps,1.59,Polylectic,Rent,Cavity./.Flexible,Solitary,1396367.481
Megachilidae,Ashmeadiella,altadenae,Ashmeadiella altadenae,NA,Polylectic,Rent,Cavity./.Flexible,Solitary,47096.35211
Megachilidae,Ashmeadiella,sonora,Ashmeadiella sonora,1.5,Polylectic,Rent,Cavity./.Flexible,Solitary,1182154.041
Megachilidae,Ashmeadiella,femorata,Ashmeadiella femorata,NA,Polylectic,Rent,Cavity./.Flexible,Solitary,402697.2365
Megachilidae,Ashmeadiella,titusi,Ashmeadiella titusi,1.46,Oligolectic,Rent,Cavity./.Flexible,Solitary,154301.8784
Megachilidae,Ashmeadiella,rufitarsis,Ashmeadiella rufitarsis,1.38,Oligolectic,Rent,Cavity./.Flexible,Solitary,361703.9327
Megachilidae,Ashmeadiella,aridula,Ashmeadiella aridula,NA,Polylectic,Rent,Cavity./.Flexible,Solitary,1160801.564
Megachilidae,Atoposmia,copelandica,Atoposmia copelandica,1.72,Oligolectic,Rent,Cavity,Solitary,1937154.823
Megachilidae,Atoposmia,hemizoniae,Atoposmia hemizoniae,NA,Oligolectic,Rent,Cavity,Solitary,50357.78867
Megachilidae,Atoposmia,pycnognatha,Atoposmia pycnognatha,2.2,Polylectic,Rent,Cavity,Solitary,97757.81965
Megachilidae,Chelostoma,cockerelli,Chelostoma cockerelli,0.82,Oligolectic,Rent,Cavity,Solitary,347012.3
Megachilidae,Chelostoma,californicum,Chelostoma californicum,1.55,Oligolectic,Rent,Cavity,Solitary,443311.1305
Megachilidae,Chelostoma,phaceliae,Chelostoma phaceliae,1.03,Oligolectic,Rent,Cavity,Solitary,573916.0348
Megachilidae,Coelioxys,octodentatus,Coelioxys octodentatus,2.8,Polylectic,Cleptoparasite,Cavity,Cleptoparasite,3175940.578
Megachilidae,Dianthidium,dubium,Dianthidium dubium,1.98,Polylectic,Excavate./.Construct,Freestanding./.Flexible,Solitary,1587227.178
Megachilidae,Dianthidium,pudicum,Dianthidium pudicum,2.04,Polylectic,Excavate./.Construct,Freestanding./.Flexible,Solitary,2594960.865
Megachilidae,Heriades,occidentalis,Heriades occidentalis,1.46,Polylectic,Excavate,Ground,Solitary,1291295.788
Megachilidae,Hoplitis,fulgida,Hoplitis fulgida,1.81,Polylectic,Rent,Cavity,Solitary,2829632.933
Megachilidae,Hoplitis,grinnelli,Hoplitis grinnelli,1.63,Polylectic,Rent,Cavity,Solitary,1967954.173
Megachilidae,Hoplitis,semirubra,Hoplitis semirubra,1.63,Oligolectic,Rent,Cavity./.Flexible,Solitary,163613.7152
Megachilidae,Hoplitis,howardi,Hoplitis howardi,NA,Oligolectic,Rent,Cavity,Solitary,216653.3262
Megachilidae,Hoplitis,remotula,Hoplitis remotula,1.7,Oligolectic,Rent,Cavity,Solitary,667939.5076
Megachilidae,Hoplitis,seminigra,Hoplitis seminigra,1.2,Oligolectic,Rent,Cavity./.Flexible,Solitary,117320.7234
Megachilidae,Megachile,subnigra,Megachile subnigra,2.93,Oligolectic,Excavate./.Flexible,Ground./.Flexible,Solitary,2134204.079
Megachilidae,Megachile,gentilis,Megachile gentilis,3.1,Polylectic,Rent,Cavity./.Flexible,Solitary,3402762.477
Megachilidae,Megachile,onobrychidis,Megachile onobrychidis,2.52,Polylectic,Rent,Cavity./.Flexible,Solitary,2491063.763
Megachilidae,Megachile,coquilletti,Megachile coquilletti,3.18,Polylectic,Rent,Cavity./.Flexible,Solitary,2821697.688
Megachilidae,Megachile,townsendiana,Megachile townsendiana,2.9,Oligolectic,Excavate./.Flexible,Ground./.Flexible,Solitary,1954469.993
Megachilidae,Megachile,lippiae,Megachile lippiae,2.75,Polylectic,Rent,Cavity./.Flexible,Solitary,5719508.172
Megachilidae,Megachile,frugalis,Megachile frugalis,2.84,Oligolectic,Rent,Cavity./.Flexible,Solitary,4108912.054
Megachilidae,Megachile,montivaga,Megachile montivaga,2.47,Polylectic,Rent,Cavity,Solitary,5570398.819
Megachilidae,Megachile,parallela,Megachile parallela,3.47,Oligolectic,Excavate./.Flexible,Ground./.Flexible,Solitary,6480080.885
Megachilidae,Osmia,coloradensis,Osmia coloradensis,2.71,Oligolectic,Rent,Cavity./.Flexible,Solitary,6246955.612
Megachilidae,Osmia,clarescens,Osmia clarescens,2.49,Polylectic,Rent,Cavity./.Flexible,Solitary,912674.5744
Megachilidae,Osmia,malina,Osmia malina,2.5,Oligolectic,Rent,Cavity./.Flexible,Solitary,1509463.182
Megachilidae,Osmia,gabrielis,Osmia gabrielis,2.97,Polylectic,Rent,Cavity./.Flexible,Solitary,586031.448
Megachilidae,Osmia,gaudiosa,Osmia gaudiosa,NA,Polylectic,Rent,Cavity./.Flexible,Solitary,1939984.759
Megachilidae,Osmia,montana,Osmia montana,NA,Oligolectic,Rent,Cavity./.Flexible,Solitary,2714209.694
Megachilidae,Osmia,nemoris,Osmia nemoris,2.35,Polylectic,Rent,Cavity./.Flexible,Solitary,632679.2874
Megachilidae,Osmia,kincaidii,Osmia kincaidii,1.8,Polylectic,Rent,Cavity./.Flexible,Solitary,1555461.459
Megachilidae,Osmia,vandykei,Osmia vandykei,2.85,Polylectic,Rent,Cavity./.Flexible,Solitary,946010.4647
Megachilidae,Osmia,granulosa,Osmia granulosa,2.15,Polylectic,Rent,Cavity./.Flexible,Solitary,831580.8413
Megachilidae,Osmia,brevis,Osmia brevis,NA,Oligolectic,Rent,Cavity./.Flexible,Solitary,2030180.216
