system:index,mean_EVI,year,.geo
0,0.21572533813819453,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.2516180848067385,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.16203644210802676,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.2541030853844775,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.18838371243215646,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.2529584206359461,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.2175779780380817,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.19469816062739595,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.22397490490710564,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.22343426258990295,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.25831397861773986,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.2529423809216451,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.22684685519501388,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.20942700789861277,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.17701863698123219,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.197122149874708,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.2118649240032594,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.2522777130627687,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.19682082714334212,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.24685507345153654,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.24594868369674702,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.2076704555246923,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.2044090909097108,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.24755290989927928,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.24849057882020892,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
